
Time:2025-5-6_17:22
VOA 1
Raw Data
step	att
0	0.00
20	-0.00
40	0.00
60	-0.00
80	0.00
100	0.00
120	-0.00
140	0.00
160	0.00
180	0.00
200	0.00
220	0.01
240	0.01
260	0.01
280	0.01
300	0.01
320	0.02
340	0.02
360	0.02
380	0.02
400	0.03
420	0.03
440	0.04
460	0.04
480	0.05
500	0.05
520	0.06
540	0.06
560	0.07
580	0.07
600	0.08
620	0.09
640	0.10
660	0.11
680	0.11
700	0.12
720	0.14
740	0.15
760	0.16
780	0.17
800	0.19
820	0.20
840	0.21
860	0.22
880	0.24
900	0.26
920	0.29
940	0.29
960	0.32
980	0.34
1000	0.37
1020	0.38
1040	0.41
1060	0.44
1080	0.47
1100	0.48
1120	0.52
1140	0.56
1160	0.60
1180	0.61
1200	0.65
1220	0.70
1240	0.75
1260	0.76
1280	0.81
1300	0.87
1320	0.93
1340	0.94
1360	1.00
1380	1.07
1400	1.14
1420	1.16
1440	1.23
1460	1.31
1480	1.38
1500	1.41
1520	1.49
1540	1.58
1560	1.67
1580	1.68
1600	1.78
1620	1.87
1640	1.98
1660	2.09
1680	2.11
1700	2.25
1720	2.37
1740	2.40
1760	2.53
1780	2.67
1800	2.79
1820	2.94
1840	2.97
1860	3.13
1880	3.29
1900	3.45
1920	3.49
1940	3.67
1960	3.85
1980	4.03
2000	4.08
2020	4.27
2040	4.47
2060	4.68
2080	4.73
2100	4.95
2120	5.18
2140	5.41
2160	5.60
2180	5.65
2200	5.90
2220	6.19
2240	6.43
2260	6.48
2280	6.72
2300	6.98
2320	7.31
2340	7.40
2360	7.67
2380	7.98
2400	8.26
2420	8.60
2440	8.66
2460	9.01
2480	9.35
2500	9.67
2520	9.98
2540	10.28
2560	10.34
2580	10.68
2600	11.07
2620	11.41
2640	11.83
2660	12.19
2680	12.28
2700	12.64
2720	13.03
2740	13.48
2760	13.87
2780	14.27
2800	14.69
2820	14.84
2840	15.32
2860	15.75
2880	16.26
2900	16.35
2920	16.81
2940	17.33
2960	17.79
2980	18.34
3000	18.45
3020	18.94
3040	19.50
3060	20.07
3080	20.60
3100	21.13
3120	21.25
3140	21.86
3160	22.49
3180	23.04
3200	23.61
3220	23.82
3240	24.48
3260	25.16
3280	25.37
3300	26.05
3320	26.67
3340	27.28
3360	28.00
3380	28.14
3400	28.85
3420	29.17
3440	30.16
3460	30.80
3480	31.47
3500	31.68
3520	32.33
3540	32.98
3560	33.64
3580	34.41
3600	35.09
3620	35.24
3640	35.91
3660	36.71
3680	37.51
3700	38.25
3720	38.47
3740	39.19
3760	39.91
3780	40.75
3800	41.56
3820	41.76
3840	42.62
3860	43.50
3880	44.36
3900	45.11
3920	45.39
3940	46.26
3960	47.15
3980	48.07
4000	48.33
4020	49.27
4040	50.22
4060	51.16
4080	52.03
Att Data
target	step	att
0	0	0.00
1	1360	1.00
2	1640	1.98
3	1840	2.97
4	1980	4.03
5	2100	4.95
6	2200	5.90
7	2300	6.98
8	2380	7.98
9	2460	9.01
10	2520	9.98
11	2600	11.07
12	2640	11.83
13	2720	13.03
14	2760	13.87
15	2820	14.84
16	2860	15.75
17	2920	16.81
18	2960	17.79
19	3020	18.94
20	3060	20.07
21	3100	21.13
22	3140	21.86
23	3180	23.04
24	3220	23.82
25	3260	25.16
26	3300	26.05
27	3340	27.28
28	3360	28.00
29	3400	28.85
30	3440	30.16
31	3460	30.80
32	3500	31.68
33	3540	32.98
34	3560	33.64
35	3600	35.09
36	3640	35.91
37	3660	36.71
38	3700	38.25
39	3740	39.19
40	3760	39.91

Time:2025-5-6_17:23
PD_1
Sample	Power	Att
2430	-7.00	400
2430	-7.00	380
2429	-7.00	360
2429	-7.00	340
2430	-7.00	320
2429	-7.00	300
2430	-7.00	280
2429	-7.00	260
2429	-7.00	240
2430	-7.00	220
2430	-7.00	200
2429	-7.00	180
2430	-7.00	160
2429	-7.00	140
2430	-7.00	120
2430	-7.00	100
2430	-7.00	80
2429	-7.00	60
2429	-7.00	40
2430	-7.00	20
2429	-7.00	0

Time:2025-5-6_17:26
VOA 1
